min_cluster_size,min_samples,condition,representation,targets,reports,macro_f_measure,macro_purity,macro_inverse_purity,mean_predicted_clusters,noise_matrices,single_cluster_matrices
2,1,L_f1_W0,B,3,152,0.7179866666666667,0.9945366666666667,0.5989533333333333,16.0,3,0
2,1,L_f1_W0,BL,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.333333333333332,3,0
2,1,L_f1_W0,BD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.0,3,0
2,1,L_f1_W0,BLD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.333333333333332,3,0
2,1,L_f1_W5,B,3,152,0.7179866666666667,0.9945366666666667,0.5989533333333333,16.0,3,0
2,1,L_f1_W5,BL,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.333333333333332,3,0
2,1,L_f1_W5,BD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.0,3,0
2,1,L_f1_W5,BLD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.333333333333332,3,0
2,1,L_f3_W0,B,3,152,0.7179866666666667,0.9945366666666667,0.5989533333333333,16.0,3,0
2,1,L_f3_W0,BL,3,152,0.7179866666666667,0.9945366666666667,0.5989533333333333,16.0,3,0
2,1,L_f3_W0,BD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.0,3,0
2,1,L_f3_W0,BLD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.0,3,0
2,1,L_f3_W5,B,3,152,0.7179866666666667,0.9945366666666667,0.5989533333333333,16.0,3,0
2,1,L_f3_W5,BL,3,152,0.7097199999999999,0.9945366666666667,0.5888233333333334,15.666666666666666,3,0
2,1,L_f3_W5,BD4,3,152,0.7118566666666667,0.9945366666666667,0.59062,16.0,3,0
2,1,L_f3_W5,BLD4,3,152,0.7166633333333333,0.9945366666666667,0.5971566666666667,15.666666666666666,3,0
2,2,L_f1_W0,B,3,152,0.87033,0.9781433333333333,0.8071033333333334,8.0,2,0
2,2,L_f1_W0,BL,3,152,0.85256,0.9716066666666666,0.7922333333333333,8.666666666666666,3,0
2,2,L_f1_W0,BD4,3,152,0.8337866666666667,0.9672133333333334,0.7671633333333334,9.0,2,0
2,2,L_f1_W0,BLD4,3,152,0.8427733333333333,0.9781433333333333,0.7726266666666667,9.666666666666666,3,0
2,2,L_f1_W5,B,3,152,0.87033,0.9781433333333333,0.8071033333333334,8.0,2,0
2,2,L_f1_W5,BL,3,152,0.8366533333333334,0.9781433333333333,0.7616966666666668,10.333333333333334,3,0
2,2,L_f1_W5,BD4,3,152,0.8337866666666667,0.9672133333333334,0.7671633333333334,9.0,2,0
2,2,L_f1_W5,BLD4,3,152,0.8529933333333334,0.9781433333333333,0.7878400000000001,9.333333333333334,3,0
2,2,L_f3_W0,B,3,152,0.87033,0.9781433333333333,0.8071033333333334,8.0,2,0
2,2,L_f3_W0,BL,3,152,0.8412700000000001,0.9781433333333333,0.7613533333333332,10.0,2,0
2,2,L_f3_W0,BD4,3,152,0.8337866666666667,0.9672133333333334,0.7671633333333334,9.0,2,0
2,2,L_f3_W0,BLD4,3,152,0.8263166666666667,0.9781433333333333,0.7410200000000001,10.0,2,0
2,2,L_f3_W5,B,3,152,0.87033,0.9781433333333333,0.8071033333333334,8.0,2,0
2,2,L_f3_W5,BL,3,152,0.8345133333333333,0.9781433333333333,0.7599,9.666666666666666,3,0
2,2,L_f3_W5,BD4,3,152,0.8337866666666667,0.9672133333333334,0.7671633333333334,9.0,2,0
2,2,L_f3_W5,BLD4,3,152,0.8475800000000001,0.9781433333333333,0.7791633333333333,9.0,3,0
2,3,L_f1_W0,B,3,152,0.9315066666666666,0.9781433333333333,0.9065566666666666,6.333333333333333,1,0
2,3,L_f1_W0,BL,3,152,0.8950133333333333,0.9716066666666666,0.8612233333333333,8.0,2,0
2,3,L_f1_W0,BD4,3,152,0.8829366666666667,0.9672133333333334,0.8459,8.333333333333334,2,0
2,3,L_f1_W0,BLD4,3,152,0.9008466666666667,0.9781433333333333,0.8622966666666666,8.0,2,0
2,3,L_f1_W5,B,3,152,0.9315066666666666,0.9781433333333333,0.9065566666666666,6.333333333333333,1,0
2,3,L_f1_W5,BL,3,152,0.9145066666666667,0.9781433333333333,0.8841533333333333,7.0,2,0
2,3,L_f1_W5,BD4,3,152,0.8829366666666667,0.9672133333333334,0.8459,8.333333333333334,2,0
2,3,L_f1_W5,BLD4,3,152,0.9008466666666667,0.9781433333333333,0.8622966666666666,8.0,2,0
2,3,L_f3_W0,B,3,152,0.9315066666666666,0.9781433333333333,0.9065566666666666,6.333333333333333,1,0
2,3,L_f3_W0,BL,3,152,0.9263033333333333,0.9781433333333333,0.9010933333333333,7.333333333333333,2,0
2,3,L_f3_W0,BD4,3,152,0.8829366666666667,0.9672133333333334,0.8459,8.333333333333334,2,0
2,3,L_f3_W0,BLD4,3,152,0.8918066666666666,0.9781433333333333,0.8459,8.666666666666666,2,0
2,3,L_f3_W5,B,3,152,0.9315066666666666,0.9781433333333333,0.9065566666666666,6.333333333333333,1,0
2,3,L_f3_W5,BL,3,152,0.9141400000000001,0.9781433333333333,0.88675,6.333333333333333,1,0
2,3,L_f3_W5,BD4,3,152,0.8829366666666667,0.9672133333333334,0.8459,8.333333333333334,2,0
2,3,L_f3_W5,BLD4,3,152,0.9145066666666667,0.9781433333333333,0.8841533333333333,7.0,2,0
2,5,L_f1_W0,B,3,152,0.94725,0.9781433333333333,0.93989,7.666666666666667,2,0
2,5,L_f1_W0,BL,3,152,0.9156166666666667,0.9382733333333334,0.9164133333333333,7.0,2,0
2,5,L_f1_W0,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
2,5,L_f1_W0,BLD4,3,152,0.93606,0.9781433333333333,0.92295,8.333333333333334,3,0
2,5,L_f1_W5,B,3,152,0.94725,0.9781433333333333,0.93989,7.666666666666667,2,0
2,5,L_f1_W5,BL,3,152,0.9601933333333333,0.9781433333333333,0.9562833333333334,6.666666666666667,2,0
2,5,L_f1_W5,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
2,5,L_f1_W5,BLD4,3,152,0.9672333333333333,0.9726766666666666,0.9726766666666666,5.666666666666667,2,0
2,5,L_f3_W0,B,3,152,0.94725,0.9781433333333333,0.93989,7.666666666666667,2,0
2,5,L_f3_W0,BL,3,152,0.92341,0.9836066666666667,0.9180333333333334,9.333333333333334,2,0
2,5,L_f3_W0,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
2,5,L_f3_W0,BLD4,3,152,0.9432333333333333,0.9781433333333333,0.9344266666666666,8.0,2,0
2,5,L_f3_W5,B,3,152,0.94725,0.9781433333333333,0.93989,7.666666666666667,2,0
2,5,L_f3_W5,BL,3,152,0.9698366666666667,0.9781433333333333,0.9726766666666666,6.0,2,0
2,5,L_f3_W5,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
2,5,L_f3_W5,BLD4,3,152,0.9561733333333334,0.9781433333333333,0.9508199999999999,7.0,2,0
3,1,L_f1_W0,B,3,152,0.85399,0.9781433333333333,0.78096,8.666666666666666,2,0
