condition,condition_tier,target,representation,reports,min_cluster_size,min_samples,true_bugs,predicted_clusters,raw_structural_clusters,noise_points,matrix_sha256,partition_sha256,epsilon,relative_validity_hdbscan,persistence,single_cluster_correction,purity,inverse_purity,f_measure,adjusted_rand_index,pairwise_average_precision,pairwise_same_bug_pairs,pairwise_different_bug_pairs,num_overcount,num_undercount,num_completely_lost
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,2,1,6,15,9,6,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,2b8db93a78cf2ed64649a320b0dc05d142e3e243ac6f90af6478ebc79455da3a,0.0,0.46813805664456765,1.0,False,1.0,0.70588,0.79638,0.6965438663121915,0.9597579457352423,225,1050,3,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,2,2,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.5177971102038702,0.12215738530695579,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,2,3,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.491612661588806,0.17939587048667466,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,2,5,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.47488006642172453,0.1363288512118729,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,3,1,6,8,6,2,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,246974936995b5f95dd8672a2e0f102fcb3a3139c7acbc71296f6609f8991817,0.0,0.583555205943569,0.128053835703972,False,1.0,0.92157,0.95098,0.9235382308845578,0.9597579457352423,225,1050,1,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,3,2,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.5177971102038702,0.12108626837321754,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,3,3,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.491612661588806,0.1979276675761469,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,3,5,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.47488006642172453,0.13639598990323365,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,4,1,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.578090354741812,0.19790160923662828,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,B,51,4,2,6,6,5,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,0.0,0.5177971102038702,0.18892770035809292,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
