condition,condition_tier,target,representation,selector,reports,true_bugs,predicted_clusters,matrix_sha256,partition_sha256,evaluation_index,epsilon,relative_validity_hdbscan,persistence,single_cluster_correction,purity,inverse_purity,f_measure,adjusted_rand_index,pairwise_average_precision,pairwise_same_bug_pairs,pairwise_different_bug_pairs,num_overcount,num_undercount,num_completely_lost
L_f1_W0,primary_full_coverage,freetype__char2svg,B,S0,51,6,1,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,c95e48269e3ff53983538aaea302b9cc1fc2d9e027bd1b8fbdebdd97c54780aa,1,0.3543185777584654,0.5,1.0,True,0.19608,1.0,0.32219,0.0,0.9597579457352423,225,1050,0,1,6
L_f1_W0,primary_full_coverage,freetype__char2svg,B,Smax,51,6,6,57e5f2e8c0d41c18c1fc33f59c8ccd591b3a7bc7a260e8dfe0433acb4abdb7aa,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,185,0.06176236481932756,0.578090354741812,1.0,False,1.0,1.0,1.0,1.0,0.9597579457352423,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,BL,S0,51,6,6,f6fef8bea11f084ff89f31b7a90d21a0892b9299870d371ff29f22817222fb60,c160d54a74f699e402f039ee7ad277882a6d415df99005423a367f0c266777bb,3,0.24031744218767068,0.7232245927852489,1.0,False,0.98039,0.98039,0.98034,0.9488195214704485,0.9809969099083358,225,1050,1,1,1
L_f1_W0,primary_full_coverage,freetype__char2svg,BL,Smax,51,6,6,f6fef8bea11f084ff89f31b7a90d21a0892b9299870d371ff29f22817222fb60,c160d54a74f699e402f039ee7ad277882a6d415df99005423a367f0c266777bb,42,0.0337633888572899,0.7232245927852489,1.0,False,0.98039,0.98039,0.98034,0.9488195214704485,0.9809969099083358,225,1050,1,1,1
L_f1_W0,primary_full_coverage,freetype__char2svg,BD4,S0,51,6,6,e2a7974a2fdfcdd920904f860b52148edaaa6529b8236988d19e490f887ea158,77fa88606dd22ca52f2063a2ff13fc15e39cc7e095d018b598b015a28f352eaa,3,0.18161454620300063,0.834757250186428,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,BD4,Smax,51,6,6,e2a7974a2fdfcdd920904f860b52148edaaa6529b8236988d19e490f887ea158,77fa88606dd22ca52f2063a2ff13fc15e39cc7e095d018b598b015a28f352eaa,185,0.03251174274709012,0.834757250186428,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,BLD4,S0,51,6,6,ae0b0bc0c8c5169aa5e18ae77e95fa366970e6f77af8946854f16f4eb9bcf11f,26795d85f1c53854c2b93730488ac418620dbdfcf912d05a2e6feecb6931561a,3,0.209879073108926,0.737155031917004,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W0,primary_full_coverage,freetype__char2svg,BLD4,Smax,51,6,6,ae0b0bc0c8c5169aa5e18ae77e95fa366970e6f77af8946854f16f4eb9bcf11f,26795d85f1c53854c2b93730488ac418620dbdfcf912d05a2e6feecb6931561a,187,0.022794900650433575,0.737155031917004,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f1_W0,primary_full_coverage,poppler__pdfimages,B,S0,40,4,4,ae9c43363c0ce3d15f18a1a7a4f0b2fe4ccf86b44058e9e6d7f4898e7963f325,3c303e8588976c1374218400bece6f78ca37f2f8dc04111ea5caa9ae59554a23,35,0.23790493335474527,0.6531442294116495,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f1_W0,primary_full_coverage,poppler__pdfimages,B,Smax,40,4,5,ae9c43363c0ce3d15f18a1a7a4f0b2fe4ccf86b44058e9e6d7f4898e7963f325,adc8c63a897abd413087fe3344c85889066b2224e4bbef68a4c8f1d915ba85cf,183,0.05136601579533602,0.7991556190859307,1.0,False,1.0,0.925,0.95588,0.9209383145091226,1.0,180,600,1,0,0
