config,min_cluster_size,min_samples,role,case,reports,expected_raw_k,expected_noise_rule,expected_noise,raw_k,noise,reported_clusters_after_noise_singletons,purity,inverse_purity,f_measure,structural_pass,noise_pass,contract_case_pass
A_mcs5_ms2,5,2,synthetic,one_blob,60,1,exactly_0,0,1,11,12,1.0,0.81667,0.89908,True,False,False
A_mcs5_ms2,5,2,synthetic,two_separated_blobs,70,2,exactly_0,0,2,0,2,1.0,1.0,1.0,True,True,True
A_mcs5_ms2,5,2,synthetic,three_separated_blobs,90,3,exactly_0,0,3,0,3,1.0,1.0,1.0,True,True,True
A_mcs5_ms2,5,2,synthetic,unequal_density_blobs,80,2,exactly_0,0,2,0,2,1.0,1.0,1.0,True,True,True
A_mcs5_ms2,5,2,synthetic,two_blobs_with_noise,68,2,exactly_8,8,2,1,3,0.89706,1.0,0.85476,True,False,False
A_mcs5_ms2,5,2,synthetic,one_blob_tiny_singleton_anomaly,61,1,exactly_1,1,1,3,4,1.0,0.96721,0.98333,True,False,False
A_mcs5_ms2,5,2,actual_one_defect,development/libxml2__libxml2_xml_read_memory_fuzzer/BP2,10,1,exactly_0,0,1,5,6,1.0,0.5,0.66667,True,False,False
A_mcs5_ms2,5,2,actual_one_defect,development/libxml2__libxml2_xml_read_memory_fuzzer/BP2_F0F2,10,1,exactly_0,0,1,2,3,1.0,0.8,0.88889,True,False,False
A_mcs5_ms2,5,2,actual_one_defect,development/libxml2__libxml2_xml_read_memory_fuzzer/BP2_F0W2,10,1,exactly_0,0,1,2,3,1.0,0.8,0.88889,True,False,False
B_mcs3_ms5,3,5,synthetic,one_blob,60,1,exactly_0,0,1,25,26,1.0,0.58333,0.73684,True,False,False
B_mcs3_ms5,3,5,synthetic,two_separated_blobs,70,2,exactly_0,0,2,0,2,1.0,1.0,1.0,True,True,True
B_mcs3_ms5,3,5,synthetic,three_separated_blobs,90,3,exactly_0,0,3,0,3,1.0,1.0,1.0,True,True,True
B_mcs3_ms5,3,5,synthetic,unequal_density_blobs,80,2,exactly_0,0,2,0,2,1.0,1.0,1.0,True,True,True
B_mcs3_ms5,3,5,synthetic,two_blobs_with_noise,68,2,exactly_8,8,2,5,7,0.95588,1.0,0.93712,True,False,False
B_mcs3_ms5,3,5,synthetic,one_blob_tiny_singleton_anomaly,61,1,exactly_1,1,1,42,43,1.0,0.32787,0.48952,True,False,False
B_mcs3_ms5,3,5,actual_one_defect,development/libxml2__libxml2_xml_read_memory_fuzzer/BP2,10,1,exactly_0,0,1,7,8,1.0,0.3,0.46154,True,False,False
B_mcs3_ms5,3,5,actual_one_defect,development/libxml2__libxml2_xml_read_memory_fuzzer/BP2_F0F2,10,1,exactly_0,0,1,7,8,1.0,0.3,0.46154,True,False,False
B_mcs3_ms5,3,5,actual_one_defect,development/libxml2__libxml2_xml_read_memory_fuzzer/BP2_F0W2,10,1,exactly_0,0,1,7,8,1.0,0.3,0.46154,True,False,False
